State,Year,Unemployment,US Avg
MA,'05,-0.233,Below Average
MD,'05,-0.958,Below Average
ME,'05,-0.208,Below Average
MI,'05,1.7,Above Average
MN,'05,-1.017,Below Average
MO,'05,0.292,Above Average
MS,'05,2.417,Above Average
MT,'05,-0.758,Below Average
NC,'05,0.158,Above Average
ND,'05,-1.708,Below Average
NE,'05,-1.283,Below Average
NH,'05,-1.508,Below Average
NJ,'05,-0.633,Below Average
NM,'05,0,Above Average
NV,'05,-0.992,Below Average
NY,'05,-0.083,Below Average
OH,'05,0.825,Above Average
OK,'05,-0.625,Below Average
OR,'05,1.1,Above Average
PA,'05,-0.117,Below Average
RI,'05,-0.042,Below Average
SC,'05,1.633,Above Average
SD,'05,-1.283,Below Average
TN,'05,0.475,Above Average
TX,'05,0.325,Above Average
UT,'05,-1.008,Below Average
VA,'05,-1.508,Below Average
VT,'05,-1.592,Below Average
WA,'05,0.458,Above Average
WI,'05,-0.367,Below Average
WV,'05,0.017,Above Average
WY,'05,-1.508,Below Average
AK,'10,-1.733,Below Average
AL,'10,0.933,Above Average
AR,'10,-1.417,Below Average
AZ,'10,0.742,Above Average
CA,'10,2.617,Above Average
CO,'10,-0.883,Below Average
CT,'10,-0.475,Below Average
DC,'10,-0.2,Below Average
DE,'10,-1.192,Below Average
FL,'10,1.425,Above Average
GA,'10,0.883,Above Average
HI,'10,-2.658,Below Average
IA,'10,-3.6,Below Average
ID,'10,-0.642,Below Average
IL,'10,0.758,Above Average
IN,'10,0.733,Above Average
KS,'10,-2.55,Below Average
KY,'10,0.558,Above Average
LA,'10,-1.658,Below Average
MA,'10,-1.317,Below Average
MD,'10,-1.958,Below Average
ME,'10,-1.483,Below Average
MI,'10,2.967,Above Average
MN,'10,-2.217,Below Average
MO,'10,-0.033,Below Average
MS,'10,0.75,Above Average
MT,'10,-2.308,Below Average
NC,'10,1.208,Above Average
ND,'10,-5.825,Below Average
NE,'10,-4.983,Below Average
NH,'10,-3.775,Below Average
NJ,'10,-0.075,Below Average
NM,'10,-1.508,Below Average
NV,'10,3.892,Above Average
NY,'10,-1.017,Below Average
OH,'10,0.633,Above Average
OK,'10,-2.833,Below Average
OR,'10,1,Above Average
PA,'10,-1.175,Below Average
