country,category,value
Uruguay,Imports,732.311644
Argentina,Imports,4583.613305
Falkland Islands(Islas Malvin,Imports,9.261546
Iceland,Imports,268.97508
Sweden,Imports,13820.97724
"Svalbard, Jan Mayen Island",Imports,0.039576
Norway,Imports,6776.30892
Finland,Imports,4341.679942
Faroe Islands,Imports,4.276273
Denmark,Imports,5144.20165
United Kingdom,Imports,51032.62111
Ireland,Imports,28733.08026
Netherlands,Imports,14862.04151
Belgium,Imports,13022.90274
Luxembourg,Imports,388.834493
Andorra,Imports,0.673148
Monaco,Imports,37.485881
France,Imports,33842.05751
Germany,Imports,84750.87138
Austria,Imports,6102.944725
Czech Republic,Imports,2192.863031
Slovakia,Imports,960.730063
Hungary,Imports,2561.172978
Liechtenstein,Imports,295.705721
Switzerland,Imports,12999.88108
Estonia,Imports,511.379949
Latvia,Imports,362.159252
Lithuania,Imports,633.912046
Poland,Imports,1948.58625
Russia,Imports,15306.67384
Belarus,Imports,345.161433
Ukraine,Imports,1098.029235
Armenia,Imports,46.191425
Azerbaijan,Imports,45.361225
Georgia,Imports,194.384289
Kazakhstan,Imports,1101.145431
Kyrgyzstan,Imports,4.618689
Moldova,Imports,50.224656
Tajikistan,Imports,241.029155
Turkmenistan,Imports,135.325351
Uzbekistan,Imports,95.627811
Spain,Imports,8614.64214
Portugal,Imports,2328.674933
Gibraltar,Imports,4.637081
Malta,Imports,282.653662
San Marino,Imports,1.389972
Vatican City,Imports,0.282286
Italy,Imports,31009.26008
Croatia,Imports,364.277603
Slovenia,Imports,413.019469
Bosnia and Herzegovina,Imports,70.462111
Macedonia,Imports,48.149502
Serbia and Montenegro,Imports,54.632827
Albania,Imports,37.18875
Greece,Imports,883.73016
Romania,Imports,1207.584718
Bulgaria,Imports,454.262612
Turkey,Imports,5182.052179
Cyprus,Imports,30.536194
Syria,Imports,323.599119
Lebanon,Imports,86.370988
Iraq,Imports,9053.695686
Iran,Imports,174.457417
Israel,Imports,16830.46608
Gaza Strip admin. by Israel,Imports,1.443661
West Bank admin. by Israel,Imports,1.604198
Jordan,Imports,1266.84986
Kuwait,Imports,4334.781445
Saudi Arabia,Imports,27192.64204
Qatar,Imports,447.861094
United Arab Emirates,Imports,1468.316627
Republic of Yemen,Imports,278.635079
Oman,Imports,555.043525
Bahrain,Imports,431.61192
Afghanistan,Imports,67.310191
India,Imports,18804.16965
Pakistan,Imports,3253.181975
Nepal,Imports,111.212077
Bangladesh,Imports,2693.035035
Sri Lanka,Imports,2082.938898
Burma,Imports,0.0615
Thailand,Imports,19889.75578
Vietnam,Imports,6631.158734
Laos,Imports,4.166156
Cambodia,Imports,1766.956953
Malaysia,Imports,33685.15957
Singapore,Imports,15110.08962
Indonesia,Imports,12014.34419
East Timor,Imports,0.084963
Brunei,Imports,562.742346
Philippines,Imports,9250.433389
Macau,Imports,1249.02212
Bhutan,Imports,0.615516
Maldives,Imports,5.496456
China,Imports,243470.1048
Mongolia,Imports,143.645404
"Korea, North",Imports,0.003252
"Korea, South",Imports,43781.44106
Hong Kong,Imports,8891.705575
Taiwan,Imports,34825.82882
Japan,Imports,138003.6962
Australia,Imports,7342.17895
Norfolk Island,Imports,0.17315
Cocos (Keeling) Islands,Imports,0.484315
Christmas Island,Imports,0.417613
Heard and McDonald Islands,Imports,0.016396
Papua New Guinea,Imports,58.451246
New Zealand,Imports,3155.239797
Cook Islands,Imports,1.744825
Tokelau,Imports,10.800762
Niue,Imports,0.138878
Samoa,Imports,7.937575
Solomon Islands,Imports,1.351564
Vanuatu,Imports,2.489141
Pitcairn Islands,Imports,1.040512
Kiribati,Imports,1.104581
Tuvalu,Imports,0.056868
New Caledonia,Imports,27.174251
Wallis and Futuna,Imports,0.022469
French Polynesia,Imports,60.124235
Marshall Islands,Imports,17.205126
Micronesia,Imports,1.557731
Palau,Imports,0.484544
Nauru,Imports,0.148786
Fiji,Imports,169.460711
Tonga,Imports,5.350431
Morocco,Imports,445.793996
Algeria,Imports,10446.43785
Tunisia,Imports,263.768113
Libya,Imports,1590.341099
Egypt,Imports,2091.236887
