country,venue,medals
Hungary,1928 St. Moritz,0
Hungary,1932 Lake Placid,0
Hungary,1935 Garmisch-Partenkirchen,1
Hungary,1940 Cancelled (Sapporo),1
Hungary,1944 Cancelled (Cortina d'Ampezzo),0
Hungary,1948 St. Moritz,0
Hungary,1952 Oslo,1
Hungary,1056 Cortina d'Ampezzo,1
Hungary,1960 Squaw Valley,1
Hungary,1964 Innsbruck,0
Hungary,1968 Grenoble,0
Hungary,1972 Sapporo,0
Hungary,1976 Innsbruck,0
Hungary,1980 Lake Placid,0
Hungary,1984 Sarajevo,1
Hungary,1988 Calgary,0
Hungary,1992 Albertville,0
Hungary,1994 Lillehammer,0
Hungary,1998 Nagano,0
Hungary,2002 Salt Lake City,0
Hungary,2006 Turin,0
Hungary,2010 Vancouver,0
Hungary,2014 Sochi,0
Unified Team,1924 Chamonix,0
Unified Team,1928 St. Moritz,0
Unified Team,1932 Lake Placid,0
Unified Team,1935 Garmisch-Partenkirchen,0
Unified Team,1940 Cancelled (Sapporo),0
Unified Team,1944 Cancelled (Cortina d'Ampezzo),0
Unified Team,1948 St. Moritz,0
Unified Team,1952 Oslo,0
Unified Team,1056 Cortina d'Ampezzo,0
Unified Team,1960 Squaw Valley,0
Unified Team,1964 Innsbruck,0
Unified Team,1968 Grenoble,0
Unified Team,1972 Sapporo,0
Unified Team,1976 Innsbruck,0
Unified Team,1980 Lake Placid,0
Unified Team,1984 Sarajevo,0
Unified Team,1988 Calgary,0
Unified Team,1992 Albertville,0
Unified Team,1994 Lillehammer,23
Unified Team,1998 Nagano,0
Unified Team,2002 Salt Lake City,0
Unified Team,2006 Turin,0
Unified Team,2010 Vancouver,0
Unified Team,2014 Sochi,0
Soviet Union,1924 Chamonix,0
Soviet Union,1928 St. Moritz,0
Soviet Union,1932 Lake Placid,0
Soviet Union,1935 Garmisch-Partenkirchen,0
Soviet Union,1940 Cancelled (Sapporo),0
Soviet Union,1944 Cancelled (Cortina d'Ampezzo),0
Soviet Union,1948 St. Moritz,0
Soviet Union,1952 Oslo,0
Soviet Union,1056 Cortina d'Ampezzo,0
Soviet Union,1960 Squaw Valley,16
Soviet Union,1964 Innsbruck,21
Soviet Union,1968 Grenoble,25
Soviet Union,1972 Sapporo,13
Soviet Union,1976 Innsbruck,16
Soviet Union,1980 Lake Placid,27
Soviet Union,1984 Sarajevo,22
Soviet Union,1988 Calgary,25
Soviet Union,1992 Albertville,29
Soviet Union,1994 Lillehammer,0
Soviet Union,1998 Nagano,0
Soviet Union,2002 Salt Lake City,0
Soviet Union,2006 Turin,0
Soviet Union,2010 Vancouver,0
Soviet Union,2014 Sochi,0
Russia,1924 Chamonix,0
Russia,1928 St. Moritz,0
Russia,1932 Lake Placid,0
Russia,1935 Garmisch-Partenkirchen,0
Russia,1940 Cancelled (Sapporo),0
Russia,1944 Cancelled (Cortina d'Ampezzo),0
Russia,1948 St. Moritz,0
Russia,1952 Oslo,0
Russia,1056 Cortina d'Ampezzo,0
Russia,1960 Squaw Valley,0
Russia,1964 Innsbruck,0
Russia,1968 Grenoble,0
Russia,1972 Sapporo,0
Russia,1976 Innsbruck,0
Russia,1980 Lake Placid,0
Russia,1984 Sarajevo,0
Russia,1988 Calgary,0
Russia,1992 Albertville,0
Russia,1994 Lillehammer,0
Russia,1998 Nagano,23
Russia,2002 Salt Lake City,18
Russia,2006 Turin,13
Russia,2010 Vancouver,22
Russia,2014 Sochi,15
Japan,1924 Chamonix,0
Japan,1928 St. Moritz,0
Japan,1932 Lake Placid,0
Japan,1935 Garmisch-Partenkirchen,0
Japan,1940 Cancelled (Sapporo),0
Japan,1944 Cancelled (Cortina d'Ampezzo),0
Japan,1948 St. Moritz,0
Japan,1952 Oslo,0
Japan,1056 Cortina d'Ampezzo,0
Japan,1960 Squaw Valley,1
Japan,1964 Innsbruck,0
Japan,1968 Grenoble,0
Japan,1972 Sapporo,0
Japan,1976 Innsbruck,3
Japan,1980 Lake Placid,0
Japan,1984 Sarajevo,1
Japan,1988 Calgary,1
Japan,1992 Albertville,1
Japan,1994 Lillehammer,7
Japan,1998 Nagano,5
Japan,2002 Salt Lake City,10
Japan,2006 Turin,2
Japan,2010 Vancouver,1
Japan,2014 Sochi,5
Czechoslovakia,1924 Chamonix,0
Czechoslovakia,1928 St. Moritz,0
Czechoslovakia,1932 Lake Placid,1
Czechoslovakia,1935 Garmisch-Partenkirchen,0
Czechoslovakia,1940 Cancelled (Sapporo),0
Czechoslovakia,1944 Cancelled (Cortina d'Ampezzo),0
Czechoslovakia,1948 St. Moritz,0
Czechoslovakia,1952 Oslo,1
Czechoslovakia,1056 Cortina d'Ampezzo,0
Czechoslovakia,1960 Squaw Valley,0
Czechoslovakia,1964 Innsbruck,1
Czechoslovakia,1968 Grenoble,1
Czechoslovakia,1972 Sapporo,4
Czechoslovakia,1976 Innsbruck,3
Czechoslovakia,1980 Lake Placid,1
Czechoslovakia,1984 Sarajevo,1
Czechoslovakia,1988 Calgary,6
Czechoslovakia,1992 Albertville,3
Czechoslovakia,1994 Lillehammer,3
Czechoslovakia,1998 Nagano,0
Czechoslovakia,2002 Salt Lake City,0
Czechoslovakia,2006 Turin,0
Czechoslovakia,2010 Vancouver,0
Czechoslovakia,2014 Sochi,0
Poland,1924 Chamonix,0
Poland,1928 St. Moritz,0
Poland,1932 Lake Placid,0
Poland,1935 Garmisch-Partenkirchen,0
Poland,1940 Cancelled (Sapporo),0
Poland,1944 Cancelled (Cortina d'Ampezzo),0
Poland,1948 St. Moritz,0
Poland,1952 Oslo,0
Poland,1056 Cortina d'Ampezzo,0
Poland,1960 Squaw Valley,1
Poland,1964 Innsbruck,2
Poland,1968 Grenoble,0
Poland,1972 Sapporo,0
Poland,1976 Innsbruck,1
Poland,1980 Lake Placid,0
Poland,1984 Sarajevo,0
Poland,1988 Calgary,0
Poland,1992 Albertville,0
Poland,1994 Lillehammer,0
Poland,1998 Nagano,0
Poland,2002 Salt Lake City,0
Poland,2006 Turin,2
Poland,2010 Vancouver,2
Poland,2014 Sochi,6
Spain,1924 Chamonix,0
Spain,1928 St. Moritz,0
Spain,1932 Lake Placid,0
Spain,1935 Garmisch-Partenkirchen,0
Spain,1940 Cancelled (Sapporo),0
Spain,1944 Cancelled (Cortina d'Ampezzo),0
Spain,1948 St. Moritz,0
Spain,1952 Oslo,0
Spain,1056 Cortina d'Ampezzo,0
