school,Metric,score
UC SAN DIEGO,NON-PEER-PUBS,9.882352941
YALE,NON-PEER-PUBS,1.642857143
NYU,NON-PEER-PUBS,3.0625
BERKLEY,NON-PEER-PUBS,26.8
CHICAGO,NON-PEER-PUBS,12.58333333
WASHINGTON ST L,NON-PEER-PUBS,0
DUKE,NON-PEER-PUBS,0
NORTH CAROLINA CH,NON-PEER-PUBS,0
UC DAVIS,NON-PEER-PUBS,0
ROCHESTER,NON-PEER-PUBS,0
PENN STATE,NON-PEER-PUBS,0
RICE,NON-PEER-PUBS,0
WISCONSIN MAD,NON-PEER-PUBS,0
TEXAS A&M,NON-PEER-PUBS,0
WASHINGTON,NON-PEER-PUBS,0
UCLA,NON-PEER-PUBS,6.846153846
ILLINOIS,NON-PEER-PUBS,0
NORTHWESTERN,NON-PEER-PUBS,0
GEORGE WASHINGTON,NON-PEER-PUBS,7.7
EMORY,NON-PEER-PUBS,0
OHIO STATE,NON-PEER-PUBS,0
FLORIDA STATE,NON-PEER-PUBS,0
INDIANA,NON-PEER-PUBS,1.6
MINNESOTA,NON-PEER-PUBS,0.3
MARYLAND,NON-PEER-PUBS,4.8125
BINGHAMTON,NON-PEER-PUBS,1
MICHIGAN STATE,NON-PEER-PUBS,0.25
STONY BROOK,NON-PEER-PUBS,0
CORNELL,NON-PEER-PUBS,0.777777778
PENN,NON-PEER-PUBS,11.8
PITTSBURGH,NON-PEER-PUBS,0
VANDERBILT,NON-PEER-PUBS,0
UC RIVERSIDE,NON-PEER-PUBS,0
TEXAS AUSTIN,NON-PEER-PUBS,0.111111111
COLORADO,NON-PEER-PUBS,0
IOWA,NON-PEER-PUBS,0
ARIZONA,NON-PEER-PUBS,0
BROWN,NON-PEER-PUBS,4.714285714
UC IRVINE,NON-PEER-PUBS,0
NOTRE DAME,NON-PEER-PUBS,0
VIRGINIA,NON-PEER-PUBS,0
UC SANTA BARBARA,NON-PEER-PUBS,1
GEORGETOWN,NON-PEER-PUBS,13.47826087
OREGON,NON-PEER-PUBS,0
JOHNS HOPKINS,NON-PEER-PUBS,4.222222222
SYRACUSE,NON-PEER-PUBS,2
STANFORD,H-Index NON-PEER-PUBS,1.181818182
HARVARD,H-Index NON-PEER-PUBS,0.285714286
MICHIAN AA,H-Index NON-PEER-PUBS,0
COLUMBIA,H-Index NON-PEER-PUBS,0.909090909
MIT,H-Index NON-PEER-PUBS,0.4375
PRINCETON,H-Index NON-PEER-PUBS,1.315789474
UC SAN DIEGO,H-Index NON-PEER-PUBS,0.470588235
YALE,H-Index NON-PEER-PUBS,0.142857143
NYU,H-Index NON-PEER-PUBS,0.0625
BERKLEY,H-Index NON-PEER-PUBS,0.8
CHICAGO,H-Index NON-PEER-PUBS,0.5
WASHINGTON ST L,H-Index NON-PEER-PUBS,0
DUKE,H-Index NON-PEER-PUBS,0
NORTH CAROLINA CH,H-Index NON-PEER-PUBS,0
UC DAVIS,H-Index NON-PEER-PUBS,0
ROCHESTER,H-Index NON-PEER-PUBS,0
PENN STATE,H-Index NON-PEER-PUBS,0
RICE,H-Index NON-PEER-PUBS,0
WISCONSIN MAD,H-Index NON-PEER-PUBS,0
TEXAS A&M,H-Index NON-PEER-PUBS,0
WASHINGTON,H-Index NON-PEER-PUBS,0
UCLA,H-Index NON-PEER-PUBS,0.384615385
ILLINOIS,H-Index NON-PEER-PUBS,0
NORTHWESTERN,H-Index NON-PEER-PUBS,0
GEORGE WASHINGTON,H-Index NON-PEER-PUBS,0.7
EMORY,H-Index NON-PEER-PUBS,0
OHIO STATE,H-Index NON-PEER-PUBS,0
FLORIDA STATE,H-Index NON-PEER-PUBS,0
INDIANA,H-Index NON-PEER-PUBS,0.3
MINNESOTA,H-Index NON-PEER-PUBS,0.1
MARYLAND,H-Index NON-PEER-PUBS,0.125
BINGHAMTON,H-Index NON-PEER-PUBS,0.5
MICHIGAN STATE,H-Index NON-PEER-PUBS,0.125
STONY BROOK,H-Index NON-PEER-PUBS,0
CORNELL,H-Index NON-PEER-PUBS,0.111111111
PENN,H-Index NON-PEER-PUBS,0.3
PITTSBURGH,H-Index NON-PEER-PUBS,0
VANDERBILT,H-Index NON-PEER-PUBS,0
UC RIVERSIDE,H-Index NON-PEER-PUBS,0
TEXAS AUSTIN,H-Index NON-PEER-PUBS,0.111111111
COLORADO,H-Index NON-PEER-PUBS,0
IOWA,H-Index NON-PEER-PUBS,0
ARIZONA,H-Index NON-PEER-PUBS,0
BROWN,H-Index NON-PEER-PUBS,0.571428571
UC IRVINE,H-Index NON-PEER-PUBS,0
NOTRE DAME,H-Index NON-PEER-PUBS,0
VIRGINIA,H-Index NON-PEER-PUBS,0
UC SANTA BARBARA,H-Index NON-PEER-PUBS,0.333333333
GEORGETOWN,H-Index NON-PEER-PUBS,1.571428571
OREGON,H-Index NON-PEER-PUBS,0
JOHNS HOPKINS,H-Index NON-PEER-PUBS,0.333333333
SYRACUSE,H-Index NON-PEER-PUBS,0.090909091
STANFORD,All IR,532
HARVARD,All IR,141.2857143
MICHIAN AA,All IR,394.1
COLUMBIA,All IR,275.9090909
MIT,All IR,65.625
PRINCETON,All IR,427.9473684
UC SAN DIEGO,All IR,329.7777778
YALE,All IR,215.9285714
NYU,All IR,232.3125
BERKLEY,All IR,123.5
CHICAGO,All IR,228.5
WASHINGTON ST L,All IR,253
DUKE,All IR,304.6153846
NORTH CAROLINA CH,All IR,128.8333333
UC DAVIS,All IR,253.875
ROCHESTER,All IR,115.7142857
PENN STATE,All IR,219.0833333
RICE,All IR,246
WISCONSIN MAD,All IR,254.7777778
TEXAS A&M,All IR,192.875
WASHINGTON,All IR,134.6363636
UCLA,All IR,95.30769231
ILLINOIS,All IR,255
NORTHWESTERN,All IR,85.875
GEORGE WASHINGTON,All IR,290.7
EMORY,All IR,209.75
OHIO STATE,All IR,302.2307692
FLORIDA STATE,All IR,67
INDIANA,All IR,163.1
MINNESOTA,All IR,318
MARYLAND,All IR,204.625
BINGHAMTON,All IR,64
MICHIGAN STATE,All IR,34.5
STONY BROOK,All IR,0
CORNELL,All IR,82.33333333
PENN,All IR,300.9
